Card ID,Beer Type,Style,Country,Description,IBU (Avg),ABV (Avg),Card Action,Hops,Grains,Yeast,Water,Special,Group Action
086,Brut India Pale Ale,IPA,American,"A modern, experimental IPA style created to be extremely dry, effervescent, and champagne-like. Enzymes (such as amyloglucosidase) are added during fermentation to break down complex sugars, resulting in a highly attenuated beer with no residual sweetness. Typically pale to golden in color, with crisp hop character (tropical, citrusy, or floral) but little malt presence. Light-bodied, bubbly, and refreshing.",28,6.8,Attack: Reduce another player's Hops by 2.,15,12,16,20,10,
087,Burton Ale,Strong Ale,English,"A historic English strong ale that predates the rise of IPA. Typically dark amber to deep brown in color, with rich malt flavors of caramel, toffee, dried fruit, and molasses. Hops were used moderately, but the style leaned heavily on the character of Burton’s sulfate-rich water, which gave a firm dryness. Often aged, developing sherry-like or vinous qualities. Considered a forerunner of modern English strong ales, old ales, and barley wines.",45,8.5,End Game: +3 VP for each English style beer brewed.,12,18,14,20,4,
088,Steam Beer (California Common),Ale/Lager,American,"A uniquely American style that originated during the California Gold Rush. Traditionally brewed with lager yeast but fermented at warmer ale-like temperatures, resulting in a beer with a toasty, caramel malt profile balanced by firm, woody, and rustic hop bitterness (traditionally Northern Brewer hops). Amber in color, medium-bodied, crisp, and slightly fruity. Made famous by Anchor Brewing as “Steam Beer.”",38,5.3,Ongoing: +1 Water when brewing this style.,13,15,15,20,2,
089,Cherry Blossom Ale,Fruit/Ale,Japanese,"A light, often pale ale or wheat ale base brewed with cherry blossoms or cherry flavoring. Aromatic and subtly floral, with mild malt sweetness and low hop bitterness. The cherry blossom adds delicate floral and fruity notes, making it refreshing and approachable. Often seasonal and celebratory, especially in spring.",15,4.8,,6,14,14,20,6,
090,Chicha,Traditional,Peru,"Chicha is a traditional corn-based beer with a long history in Andean cultures. Originally, it was made with chewed or germinated maize, allowing natural fermentation. Modern craft versions often use malted corn or other grains. Flavors range from lightly sweet and earthy to sour or funky, depending on fermentation. Often lightly carbonated and low in alcohol, intended as a refreshing communal beverage.",10,3.5,Ongoing: +1 Grains when brewing this style.,2,18,16,20,10,
091,Chili Pepper Beer,Fruit,American,"A beer brewed or infused with chili peppers to add heat and spice. The base can be a pale ale, lager, wheat beer, or stout, with the chili flavor providing a sharp, warming kick. Flavors can range from mildly spicy to intensely hot, often balanced with malt sweetness or fruity esters. Color, bitterness, and body depend heavily on the underlying beer style.",28,6,,10,14,14,20,12,
092,Chinese Dark Lager,Lager,Chinese,"A dark lager style brewed in China, often commercially produced. Typically amber to dark brown in color, with mild caramel, toffee, and roasted malt notes. Light- to medium-bodied, with restrained hop bitterness and clean fermentation character. Often slightly sweet, smooth, and highly drinkable, intended for mass appeal rather than strong complexity.",15,5,,6,16,14,20,4,
093,Chinese IPA,IPA,Chinese,"A modern IPA brewed in China, influenced by American and European IPA styles. Typically golden to amber in color, with pronounced hop aroma and flavor, often tropical, citrusy, or piney. Malt character is moderate, supporting the hop bitterness. Can range from moderately bitter to intensely hoppy, depending on the brewery. Usually medium-bodied and carbonated.",55,6.5,,18,14,14,20,4,
094,Chinese Pale Lager,Lager,Chinese,"A pale, light-bodied lager popular in China, often produced for mass consumption. Crisp and clean with a mild malt sweetness and minimal hop bitterness. Typically very approachable, slightly effervescent, and easy-drinking. Often brewed with adjuncts like rice or corn to lighten the body and flavor.",14,4.3,,6,16,14,20,4,
095,Chinese Pilsner,Pilsner/Lager,Chinese,"A pale, crisp, and highly carbonated lager brewed in the Pilsner style. Typically light golden in color, with a clean malt backbone and subtle hop aroma and bitterness. Often brewed with adjuncts like rice or corn to lighten body and increase drinkability. Popular in both domestic and export markets, balancing approachability with a mild European-style hop character.",25,5,,10,16,14,20,4,
096,Chocolate Beer,Flavored,American,"A beer brewed with chocolate or chocolate malt to impart rich, cocoa-like flavors. Base styles vary—stouts, porters, or even brown ales are common—producing dark, full-bodied beers with roasted malt character. The chocolate can range from subtle hints to intense dessert-like richness. Often slightly sweet, smooth, and sometimes complemented with vanilla or coffee notes.",30,6.3,,10,16,14,20,12,
097,Christmas Ale,Ale,American,"A festive ale brewed for the holiday season, often rich, malty, and full-bodied. Typically amber to dark brown, with flavors of caramel, toffee, and a warming array of spices such as cinnamon, nutmeg, clove, and orange peel. Some versions are stronger (higher ABV) to make them more warming and celebratory. Highly aromatic and often enjoyed during winter months.",30,7.3,End Game: +2 VP for each spiced beer brewed.,10,16,14,20,14,
098,Cider,Fruit,English,"A fermented beverage made primarily from apple juice, ranging from dry to sweet, still to sparkling. Flavors can include fresh apple, pear, or other fruit notes, often with a crisp acidity and refreshing finish. Unlike beer, cider is typically made without grains, but modern craft ciders may include spices or hops for added complexity.",5,5.2,End Game: +2 VP for each fruit beer brewed.,2,0,16,20,16,
099,Ciemne Pełne,Dark Lager,Polish,"A traditional Polish dark lager, “Ciemne Pełne” translates to “full dark beer.” Typically amber to dark brown, with a medium body and mild bitterness. Flavors include caramel, toasted malt, light chocolate, and subtle roasted notes. Clean fermentation character with a smooth, easy-drinking finish. Often slightly sweet and highly drinkable.",20,5.5,,8,16,14,20,2,
100,Citra Pale Ale,Pale Ale,American,"A hop-forward American Pale Ale that showcases the Citra hop variety. Typically golden to amber in color, with prominent tropical fruit, citrus, and floral aromas and flavors. Medium-bodied with balanced malt sweetness supporting the bright hop character. Highly aromatic, refreshing, and moderately bitter.",43,5.8,,18,14,14,20,2,
101,Coffee Beer,Flavored,American,"A beer brewed with coffee or coffee flavoring, often using stouts, porters, or brown ales as a base. Typically dark in color with roasted malt character, smooth body, and prominent coffee aroma and flavor. Sweetness, bitterness, and roast intensity vary depending on the beer style and coffee addition method. Can be enjoyed as a dessert-style beer or a morning-inspired stout.",30,6.3,,10,16,14,20,12,
102,Cold India Pale Ale,Emerging,American,,,,Ongoing: +1 to your IBU when brewing this style.,,,,,,
103,Contemporary Belgian Spontaneous Fermented Ale,,Belgian,,,,,,,,,,
104,Cream Ale,Lager,American,,,,Ongoing: +1 Yeast when brewing this style.,,,,,,
105,Czech Amber Lager,Lager,Czech,,,,Ongoing: +1 Water when brewing this style.,,,,,,
106,Czech Dark Lager,Lager,Czech,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
107,Czech Premium Pale Lager,Lager,Czech,,,,Ongoing: +1 Water when brewing this style.,,,,,,
108,Dark Mild,Ale,English,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
109,Dark Rice Ale,,Japanese,,,,,,,,,,
110,Doppelbock,Lager,German,,,,End Game: +3 VP for each German style beer brewed.,,,,,,
111,Dortmunder,Lager,German,,,,Ongoing: +1 Water when brewing this style.,,,,,,
112,Double Hoppy Red Ale,,American,,,,,,,,,,
113,Double India Pale Ale,Ale,American,,,,Attack: Reduce another player's Hops by 3.,,,,,,
114,Dunkelweizen,Ale,German,,,,Ongoing: +1 Yeast when brewing this style.,,,,,,
115,Düsseldorf Altbier,Hybrid,German,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
116,Eisbock,Lager,German,,,,End Game: +3 VP for each German style beer brewed.,,,,,,
117,English Brown Ale,,English,,,,,,,,,,
118,English Dark Mild Ale,,English,,,,,,,,,,
119,English India Pale Ale,Ale,English,,,,Ongoing: +1 Hops when brewing this style.,,,,,,
120,English Pale Ale,,English,,,,,,,,,,
121,English Pale Mild Ale,,English,,,,,,,,,,
122,English Summer Ale,,English,,,,,,,,,,
123,European Dark Lager,,German,,,,,,,,,,
124,Experimental Fruit Ale,,Scottish,,,,,,,,,,
125,Export Ale,,Irish,,,,,,,,,,
126,Extra Special Bitter (ESB),Ale,English,,,,Ongoing: +1 IBU when brewing this style.,,,,,,
127,Extra Stout,,Irish,,,,,,,,,,
128,Faro,Lambic,Belgian,,,,End Game: +2 VP for each sour beer brewed.,,,,,,
129,Field Beer,,Various,,,,,,,,,,
130,Flanders Red Ale,Ale,Belgian,,,,End Game: +2 VP for each sour beer brewed.,,,,,,
131,Foreign Extra Stout,Stout,English,,,,End Game: +2 VP for each Stout brewed.,,,,,,
132,Franconian Rotbier,,German,,,,,,,,,,
133,French Amber,,French,,,,,,,,,,
134,French Farmhouse Ale,,French,,,,,,,,,,
135,French IPA,,French,,,,,,,,,,
136,French Porter,,French,,,,,,,,,,
137,French Saison,,French,,,,,,,,,,
138,French Stout,,French,,,,,,,,,,
139,Fresh Hop Beer,,Various,,,,,,,,,,
140,Fruit Beer,Other,Various,,,,End Game: +2 VP for each fruit beer brewed.,,,,,,
141,Fruit Lambic,Lambic,Belgian,,,,End Game: +2 VP for each fruit beer brewed.,,,,,,
142,Fruit Wheat Beer,,Various,,,,,,,,,,
143,German Pilsener,,German,,,,,,,,,,
144,German Rye Ale,,German,,,,,,,,,,
145,Ginjo Beer,,Japanese,,,,,,,,,,
146,Gluten-Free Beer,Other,Various,,,,Ongoing: +1 Water when brewing this style.,,,,,,
147,Golden Ale,Ale,English,,,,Ongoing: +1 Water when brewing this style.,,,,,,
148,Golden Ale,,Scottish,,,,,,,,,,
149,Gose,Sour,German,,,,End Game: +2 VP for each sour beer brewed.,,,,,,
150,Gotlandsdricke,,Swedish,,,,,,,,,,
151,Grodziskie,,Polish,,,,,,,,,,
152,Gueuze,Lambic,Belgian,,,,End Game: +2 VP for each sour beer brewed.,,,,,,
153,Happōsei,,Japanese,,,,,,,,,,
154,Happoshu,,Japanese,,,,,,,,,,
155,Hazy Imperial India Pale Ale,,American,,,,,,,,,,
156,Hazy India Pale Ale,,American,,,,,,,,,,
157,Hazy Pale Ale,,American,,,,,,,,,,
158,Hazy Strong Pale Ale,,American,,,,,,,,,,
159,Heather Ale,,Scottish,,,,,,,,,,
160,Hefeweizen,,German,,,,,,,,,,
161,Heller Bock,,German,,,,,,,,,,
162,Heller Maibock,,German,,,,,,,,,,
163,Helles Bock,Lager,German,,,,End Game: +2 VP for each German style beer brewed.,,,,,,
164,Helles Rauchbier,,German,,,,,,,,,,
165,Herb and Spice Beer,Other,Various,,,,End Game: +2 VP for each spiced beer brewed.,,,,,,
166,Herbal Beer,,Chinese,,,,,,,,,,
167,Holiday Ales,,French,,,,,,,,,,
168,Honey Beer,Other,Various,,,,End Game: +2 VP for each honey beer brewed.,,,,,,
169,Honey Rice Ale,,Japanese,,,,,,,,,,
170,Imperial Red Ale,,American,,,,,,,,,,
171,Imperial Stout,Stout,Russian,,,,End Game: +3 VP for each Stout brewed.,,,,,,
172,India Pale Lager (IPL),Lager,American,,,,Attack: Reduce another player's Hops by 2.,,,,,,
173,International Pale Ale,,International,,,,,,,,,,
174,International Pale Lager,Lager,International,,,,Ongoing: +1 Water when brewing this style.,,,,,,
175,International Pilsener,,International,,,,,,,,,,
176,Irish Brown Ale,,Irish,,,,,,,,,,
177,Irish Dry Stout,Stout,Irish,,,,End Game: +2 VP for each Stout brewed.,,,,,,
178,Irish Foreign Extra Stout,,Irish,,,,,,,,,,
179,Irish Kölsch Ale,,Irish,,,,,,,,,,
180,Irish Pale Ale,,Irish,,,,,,,,,,
181,Irish Porter,,Irish,,,,,,,,,,
182,Irish Red Ale,Ale,Irish,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
183,Irish Wheat Beer,,Irish,,,,,,,,,,
184,Japanese Barrel-Aged Ale,,Japanese,,,,,,,,,,
185,Japanese Fruit Ale,,Japanese,,,,,,,,,,
186,Japanese IPA,,Japanese,,,,,,,,,,
187,Japanese Pale Ale,,Japanese,,,,,,,,,,
188,Japanese Pilsner,,Japanese,,,,,,,,,,
189,Japanese Porter,,Japanese,,,,,,,,,,
190,Japanese Rice Lager,,Japanese,,,,,,,,,,
191,Japanese Stout,,Japanese,,,,,,,,,,
192,Japanese Wheat Beer,,Japanese,,,,,,,,,,
193,Jasne Lekkie,,Polish,,,,,,,,,,
194,Jasne Mocne,,Polish,,,,,,,,,,
195,Jasne Pełne,,Polish,,,,,,,,,,
196,Junmai Ale,,Japanese,,,,,,,,,,
197,Kellerbier,Lager,German,,,,Ongoing: +1 Yeast when brewing this style.,,,,,,
198,Kentucky Common,Hybrid,American,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
199,Koelsch,,German,,,,,,,,,,
200,Koji Beer,,Japanese,,,,,,,,,,
201,Kölsch,Lager/Hybrid,German,,,,Ongoing: +1 Water when brewing this style.,,,,,,
202,Koźlak,,Polish,,,,,,,,,,
203,Krausenbier,Lager,German,,,,Ongoing: +1 Hops when brewing this style.,,,,,,
204,Kristal Weizen,,German,,,,,,,,,,
205,"Kuit, Kuyt or Koyt",,Netherland,,,,,,,,,,
206,Lager,Lager,German,,,,Ongoing: +1 Water when brewing this style.,,,,,,
207,Lambic,Lambic,Belgian,,,,End Game: +2 VP for each sour beer brewed.,,,,,,
208,Latin American Light Lager,,American,,,,,,,,,,
209,Leichtbier,,German,,,,,,,,,,
210,Leichtes Weizen,,German,,,,,,,,,,
211,Leipzig Gose,,German,,,,,,,,,,
212,Lichtenhainer,Hybrid,German,,,,End Game: +2 VP for each smoked beer brewed.,,,,,,
213,London Porter,Porter,English,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
214,Low Malt,,Chinese,,,,,,,,,,
215,Maerzen,,German,,,,,,,,,,
216,Maerzen Rauchbier,,German,,,,,,,,,,
217,Makgeolli Beer Hybrid,,South Korea,,,,,,,,,,
218,Märzen,,,,,,,,,,,,
219,Matcha Beer,,Japanese,,,,,,,,,,
220,Mead,Other,Various,,,,End Game: +3 VP for each honey beer brewed.,,,,,,
221,Mild,Ale,English,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
222,Milk Stout,,Irish,,,,,,,,,,
223,Milk Stout,,Scottish,,,,,,,,,,
224,Miodowe,,Polish,,,,,,,,,,
225,Mixed-Culture Brett Beer,,Various,,,,,,,,,,
226,Mixed-Fermentation Beer,Other,Various,,,,End Game: +2 VP for each sour beer brewed.,,,,,,
227,Munich Dunkel,Lager,German,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
228,Munich Helles,,German,,,,,,,,,,
229,New Zealand India Pale Ale,,New Zealand,,,,,,,,,,
230,New Zealand Pale Ale,,New Zealand,,,,,,,,,,
231,New Zealand Pilsner,Other,New Zealand,,,,Ongoing: +1 Hops when brewing this style.,,,,,,
232,Non-Alcoholic Beer,Other,Various,,,,Ongoing: +1 Water when brewing this style.,,,,,,
233,Oak-Aged Ale,,Scottish,,,,,,,,,,
234,Oatmeal Stout,Stout,English,,,,End Game: +2 VP for each Stout brewed.,,,,,,
235,Oatmeal Stout,,Irish,,,,,,,,,,
236,Oktoberfest,Lager,German,,,,End Game: +2 VP for each German style beer brewed.,,,,,,
237,Old Ale,Ale,English,,,,End Game: +3 VP for each English style beer brewed.,,,,,,
238,Ordinary Bitter,,English,,,,,,,,,,
239,Pale Ale,Ale,English,,,,Ongoing: +1 to your IBU when brewing this style.,,,,,,
240,Peated Ale,,Scottish,,,,,,,,,,
241,Philippine Mango Wheat Ale,,Philippines,,,,,,,,,,
242,Pilsner,Lager,Czech,,,,Ongoing: +1 Water when brewing this style.,,,,,,
243,Pine Ale,,Scottish,,,,,,,,,,
244,Piwo Grodziskie,,Polish,,,,,,,,,,
245,Polish IPA,,Polish,,,,,,,,,,
246,Polish Pale Ale,,Polish,,,,,,,,,,
247,Porter,Porter,English,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
248,Porter Bałtycki,,Polish,,,,,,,,,,
249,Pszeniczne,,Polish,,,,,,,,,,
250,Pumpkin Beer,Other,American,,,,End Game: +2 VP for each spiced beer brewed.,,,,,,
251,Pumpkin Spice Beer,,American,,,,,,,,,,
252,Rauchbier,Lager,German,,,,End Game: +2 VP for each smoked beer brewed.,,,,,,
253,Rice Lager,,Chinese,,,,,,,,,,
254,Robust Porter,,English,,,,,,,,,,
255,Roggenbier,Ale,German,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
256,Rye Beer,,German,,,,,,,,,,
257,Sahti,Other,Finnish,,,,End Game: +2 VP for each traditional beer brewed.,,,,,,
258,Saison,Saison,Belgian,,,,Attack: Steal 1 Grain from another player.,,,,,,
259,Sake-Beer Hybrid,,Japanese,,,,,,,,,,
260,Sake-Yeast Beer,,Japanese,,,,,,,,,,
261,Schwarzbier,Lager,German,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
262,Scottish Ale,Ale,Scottish,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
263,Scottish Export,Ale,Scottish,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
264,Scottish Heavy,Ale,Scottish,,,,Ongoing: +1 Grains when brewing this style.,,,,,,
265,Scottish India Pale Ale,,Scottish,,,,,,,,,,
266,Scottish Lager,,Scottish,,,,,,,,,,
267,Scottish Light,,Scottish,,,,,,,,,,
268,Scottish Porter,,Scottish,,,,,,,,,,
269,Scottish Red Ale,,Scottish,,,,,,,,,,
270,Scottish Stout,,Scottish,,,,,,,,,,
271,Session Beer,,Various,,,,,,,,,,
272,Session India Pale Ale,,English,,,,,,,,,,
273,Shilling Ale,,Scottish,,,,,,,,,,
274,Shin Janru,,Japanese,,,,,,,,,,
275,Smoked Beer,Other,Various,,,,End Game: +2 VP for each smoked beer brewed.,,,,,,
276,Smoked Porter,,American,,,,,,,,,,
277,Sour Beer,Other,Various,,,,End Game: +2 VP for each sour beer brewed.,,,,,,
278,Spiced Ale,,Scottish,,,,,,,,,,
279,Steam Beer,Hybrid,American,,,,Ongoing: +1 Water when brewing this style.,,,,,,
280,Stout,Stout,English,,,,End Game: +2 VP for each Stout brewed.,,,,,,
281,Strong Ale,Ale,English,,,,End Game: +3 VP for each English style beer brewed.,,,,,,
282,Sweet Lager,,Chinese,,,,,,,,,,
283,Sweet Stout,Stout,English,,,,End Game: +2 VP for each Stout brewed.,,,,,,
284,Świąteczne Piwo,,Polish,,,,,,,,,,
285,Thai Jasmine Rice Lager,,Thailand,,,,,,,,,,
286,Thai Lemongrass Ale,,Thailand,,,,,,,,,,
287,Tibetan Barley Beer,,Chinese,,,,,,,,,,
288,Tongba,,Nepal,,,,,,,,,,
289,Traditional Irish Lager,,Irish,,,,,,,,,,
290,Tropical Light Lager,,American,,,,,,,,,,
291,Vienna Lager,Lager,Austrian,,,,Ongoing: +1 Water when brewing this style.,,,,,,
292,Vietnamese Bia Hơi,,Vietnam,,,,,,,,,,
293,Vietnamese Coffee Stout,,Vietnam,,,,,,,,,,
294,Wee Heavy,,Scottish,,,,,,,,,,
295,Weiss Rauchbier,,German,,,,,,,,,,
296,Weizenbock,Ale,German,,,,Ongoing: +1 Yeast when brewing this style.,,,,,,
297,Wheat Beer,Ale,German,,,,Ongoing: +1 Yeast when brewing this style.,,,,,,
298,Wild Beer,Other,Various,,,,End Game: +2 VP for each wild beer brewed.,,,,,,
299,Yakju Beer Hybrid,,South Korea,,,,,,,,,,
300,Yuzu Ale,,Japanese,,,,,,,,,,
